Date,sentscore
2024-04-01 09:30:00,0.46627727
2024-04-01 10:00:00,0.5383789
2024-04-01 10:30:00,0.57349294
2024-04-01 11:00:00,0.46627727
2024-04-01 11:30:00,0.46627727
2024-04-01 12:00:00,0.28708398
2024-04-01 12:30:00,0.46627727
2024-04-01 13:00:00,0.46627727
2024-04-01 13:30:00,0.46627727
2024-04-01 14:00:00,0.46627727
2024-04-01 14:30:00,0.46627727
2024-04-01 15:00:00,0.8838991
2024-04-01 15:30:00,0.5187991
2024-04-01 16:00:00,0.46627727
2024-04-01 16:30:00,0.46627727
2024-04-01 17:00:00,0.5646352
2024-04-01 17:30:00,0.49414536
2024-04-01 18:00:00,0.7567041
2024-04-01 18:30:00,0.46627727
2024-04-01 19:00:00,0.6318382
2024-04-01 19:30:00,0.31573725
2024-04-01 20:00:00,0.46627727
2024-04-01 20:30:00,0.46627727
2024-04-01 21:00:00,0.46627727
2024-04-01 21:30:00,0.46627727
2024-04-01 22:00:00,0.46627727
2024-04-01 22:30:00,0.27981043
2024-04-01 23:00:00,0.46627727
2024-04-01 23:30:00,0.81061274
2024-04-02 00:00:00,0.78563297
2024-04-02 00:30:00,0.5088164
2024-04-02 01:00:00,0.46627727
2024-04-02 01:30:00,0.46627727
2024-04-02 02:00:00,0.46627727
2024-04-02 02:30:00,0.46627727
2024-04-02 03:00:00,0.46627727
2024-04-02 03:30:00,0.46627727
2024-04-02 04:00:00,0.4808335
2024-04-02 04:30:00,0.46627727
2024-04-02 05:00:00,0.46627727
2024-04-02 05:30:00,0.46627727
2024-04-02 06:00:00,0.3451069
2024-04-02 06:30:00,0.46627727
2024-04-02 07:00:00,0.46627727
2024-04-02 07:30:00,0.46627727
2024-04-02 08:00:00,0.46627727
2024-04-02 08:30:00,0.46627727
2024-04-02 09:00:00,0.46627727
2024-04-02 09:30:00,0.46627727
2024-04-02 10:00:00,0.46627727
2024-04-02 10:30:00,0.7384285
2024-04-02 11:00:00,0.46627727
2024-04-02 11:30:00,0.46627727
2024-04-02 12:00:00,0.46627727
2024-04-02 12:30:00,0.64161336
2024-04-02 13:00:00,0.46627727
2024-04-02 13:30:00,0.46627727
2024-04-02 14:00:00,0.46627727
